titulo,id,url,href_original,unifiedEntityId,list_id,location,rank,row,track_id,request_id,lolomo_id,image_key,supp_video_id,appView,image_url,aria_label,titulo_fallback,container_id,tracking_uuid,tctx,visto
Sakamoto Days,81663325,https://www.netflix.com/watch/81663325,/watch/81663325?tctx=0%2C0%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81663325%2C,Video:81663325,NES_EA3DBF14029BDEE22FBDA856321F6C-E5FEE6D9B8A930-36E95919D3_p_1755881223675,MyListAsGallery,0,0,254761469,fa4e2013-d43f-4384-b05c-43992b796b5b-330443029,unknown,"sdp|1fbcb8b0-4303-11f0-bdc9-0affffcce65d|es|MVC|81902437,BADGE|newcontent:new.episode.watch.now|es",1,boxArt,https://occ-0-70-92.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABeRLQviMBwDVHql5n9oLoq_rCuvWlBPqm28pHcsigjnvhebU5W1gnjPAd2Q8o2ec1ILh-afiQldcrOFjVh8Jkin0S2CqiycVyrYunAM2c0sOm6hqqKUYIxYfwKngNyKg7xH8tDrdJQDuop4JFlpxNSjqbzr5HrBrZC0U99HAoXArn2l_2c6Gd6pbXLL9jD-jxW_EuSxtQV0Yins0u0pSMNI6qzdZ3i0Ic8SL8Q32kbK-XAXUYlut1pMVaMQWcAA5ysRhaoJhBq15eV9EXFhjxqI8mr_9IEaxD0Tt8pTFyJEEhdeVVpNMV8otgCSwnNn5mFraRWvaUZaKkj4BXuq9pNOhzuus.jpg?r=715,,,title-card-0-0,7b310ed7-8a67-4b76-ad41-baa6b98a7592,"0,0,,,,,,,,Video:81663325,",
Taxi,70002005,https://www.netflix.com/watch/70002005,/watch/70002005?tctx=0%2C1%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A70002005%2C,Video:70002005,NES_EA3DBF14029BDEE22FBDA856321F6C-E5FEE6D9B8A930-36E95919D3_p_1755881223675,MyListAsGallery,1,0,254761469,fa4e2013-d43f-4384-b05c-43992b796b5b-330443029,unknown,"sdp|4e401ea1-5eb2-11f0-b499-0eefbadfb797|en|MVC,BADGE|recently.added|es",1,boxArt,https://occ-0-70-92.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABdHbs7joqdaGNgrCHkfZjpcxq_p_fPm2BBiirGKHdcr8X782L_SMFDMNZVjrTVq_wtYhzJHYel3CwUjm2Tuji20iGec3YiGdqAnxB6AHem5NQRT3sn-pFo6gHkUw-szRhr_mEcwGf_G-AiHK4xTIMkKgfbfimAXS_PSzzHfX2Oz1hLQDkPTNo_ePhtkSR9r7-jEk0NcLv2x-EachyDfzWbhwmgrAL6FamtOesxes_Q.webp?r=321,,,title-card-0-1,9d80166c-9d0c-41b7-a699-ce95f9da3c6e,"0,1,,,,,,,,Video:70002005,",
Amor en la puerta de al lado,81739044,https://www.netflix.com/watch/81739044,/watch/81739044?tctx=0%2C2%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81739044%2C,Video:81739044,NES_EA3DBF14029BDEE22FBDA856321F6C-E5FEE6D9B8A930-36E95919D3_p_1755881223675,MyListAsGallery,2,0,254761469,fa4e2013-d43f-4384-b05c-43992b796b5b-330443029,unknown,sdp|afb01790-58db-11ef-9b5b-0afff3b14a09|es|MVC|81739045,1,boxArt,https://occ-0-70-92.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABe_uMGzVc_xENtEWqiyNQJks-T3MGk2H0qX065ajK8hicYsjqkDYpx8Fe-0hIUxfG_eaX73gVedPnq5Gui6uJHdRQPgI8B-B8UZZwbelyYMfHsFnpub3zoIN-idLdTAYjoJ-.jpg?r=625,,,title-card-0-2,d03c1174-7f45-4902-812d-5b328d4e8841,"0,2,,,,,,,,Video:81739044,",
Urgencias existenciales,81697985,https://www.netflix.com/watch/81697985,/watch/81697985?tctx=0%2C3%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81697985%2C,Video:81697985,NES_EA3DBF14029BDEE22FBDA856321F6C-E5FEE6D9B8A930-36E95919D3_p_1755881223675,MyListAsGallery,3,0,254761469,fa4e2013-d43f-4384-b05c-43992b796b5b-330443029,unknown,sdp|ceb5c660-b9e6-11ee-a5d2-0a1785fa2dfd|es,1,boxArt,https://occ-0-70-92.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABTAYsLAzxUwLbdHn0JtnrC31cVB7SbFuzuadscTepYCXcjQkuXemmGSc2H_Yc2o3xRMcwAIK8YfY5fkiUgx698k1Vsh2BxAovtG7-um36q3RjUV66AmK1DT-LUMr2k1sH19q.jpg?r=2c5,,,title-card-0-3,f0fbbd13-523f-4ade-af68-96bb6955cda6,"0,3,,,,,,,,Video:81697985,",
"Luces, cámara, ¡amor!",81720593,https://www.netflix.com/watch/81720593,/watch/81720593?tctx=1%2C0%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81720593%2C,Video:81720593,NES_EA3DBF14029BDEE22FBDA856321F6C-E5FEE6D9B8A930-36E95919D3_p_1755881223675,MyListAsGallery,0,1,254761469,fa4e2013-d43f-4384-b05c-43992b796b5b-330443029,unknown,sdp|ebd85a60-d915-11ef-9f45-0affd52c9c55|es|MVC|81720594,1,boxArt,https://occ-0-70-92.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABTk-uPu3snF3XPbVqWN_AY230vpctyQzEBLx-jE_kMzUsb4UyCqMk3YaQyf4Vt27iRuWJqcsitC6wFNomN8L2eNttgF32HXHWPJXmkH3W5DVp7xw6UntCrkKk1WuWvzOsXio.jpg?r=953,,,title-card-1-0,e32ca41d-cdc0-4ca7-9f1c-e2d616e3fc49,"1,0,,,,,,,,Video:81720593,",
Aterrizaje de emergencia en tu corazón,81159258,https://www.netflix.com/watch/81159258,/watch/81159258?tctx=1%2C1%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81159258%2C,Video:81159258,NES_EA3DBF14029BDEE22FBDA856321F6C-E5FEE6D9B8A930-36E95919D3_p_1755881223675,MyListAsGallery,1,1,254761469,fa4e2013-d43f-4384-b05c-43992b796b5b-330443029,unknown,sdp|a9312f80-e081-11ee-b321-12eb482a5b27|es,1,boxArt,https://occ-0-70-92.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABYLOlSXncL_1Rr1Hs1SQwnnJUVq4zaYFuYYUDchigcxAs_s_iYcv7x9PoClMlshkm39YN2YBaRKpjLg40p7xNDcGb5BngooE6BWp4m2-A42wpBKx9WNTTZKSPfkKF1LA2brB.jpg?r=ef5,,,title-card-1-1,66626af0-d43e-4229-aae0-6b498e82993a,"1,1,,,,,,,,Video:81159258,",
El amor es un capítulo aparte,81045349,https://www.netflix.com/watch/81045349,/watch/81045349?tctx=1%2C2%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81045349%2C,Video:81045349,NES_EA3DBF14029BDEE22FBDA856321F6C-E5FEE6D9B8A930-36E95919D3_p_1755881223675,MyListAsGallery,2,1,254761469,fa4e2013-d43f-4384-b05c-43992b796b5b-330443029,unknown,sdp|cbcd0773-19fe-11e9-9f16-0e8752008a70|es,1,boxArt,https://occ-0-70-92.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABSz3iNB8PmH8LskLyBpOpRAULda-tvFYyG7sIjxSrwx1LRx0Bf6YboCUijGpSH6FeElbfSFk3x1EWEgDVlGEa-dBDwX_yI94JbWupCUKutBZIoJtblzkuR2E3cx2-0QjUitv.jpg?r=f86,,,title-card-1-2,fc87789d-50ec-44a7-b949-5667f9e336c7,"1,2,,,,,,,,Video:81045349,",
Unbreakable Kimmy Schmidt,80025384,https://www.netflix.com/watch/80025384,/watch/80025384?tctx=1%2C3%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A80025384%2C,Video:80025384,NES_EA3DBF14029BDEE22FBDA856321F6C-E5FEE6D9B8A930-36E95919D3_p_1755881223675,MyListAsGallery,3,1,254761469,fa4e2013-d43f-4384-b05c-43992b796b5b-330443029,unknown,sdp|7514c310-0ec2-11e9-b321-0abbc59f77ba|es,1,boxArt,https://occ-0-70-92.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABVV3RJIXFhz72a1LsyKadwHwiMj2haHKeNmLu-YOGOCRzrdJAl-b4Y9I1s1plysjlSrDO8nOJfDKzc2I8xJ3rUC8vyQG2tJPTBUbWTpgxDbsTPO77dOSTix1gs9i71byxq2Z.jpg?r=f5e,,,title-card-1-3,d7f7dd52-e77d-4e52-b0ec-5379c5faa46b,"1,3,,,,,,,,Video:80025384,",
FUBAR,81397077,https://www.netflix.com/watch/81397077,/watch/81397077?tctx=2%2C0%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81397077%2C,Video:81397077,NES_EA3DBF14029BDEE22FBDA856321F6C-E5FEE6D9B8A930-36E95919D3_p_1755881223675,MyListAsGallery,0,2,254761469,fa4e2013-d43f-4384-b05c-43992b796b5b-330443029,unknown,sdp|069285d0-3053-11f0-aacf-0ec9fe6c630d|es|MVC|81604872,1,boxArt,https://occ-0-70-92.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABbmLATfEsqw32rruQS9WdGiCMvGc5RD9HMH3114kLxwQ4EK83bY6j11QJhUd9sIUlMf_k5UHcgEjWqih87Nvxsz6dRXNPVPFAb-tTYYur-X6s0EdMsGwtznjDJhx5oovURFu.jpg?r=390,,,title-card-2-0,713b184d-8fe6-486d-b59e-8ba79e5aa568,"2,0,,,,,,,,Video:81397077,",
Señor Reina,81422314,https://www.netflix.com/watch/81422314,/watch/81422314?tctx=2%2C1%2C%2C%2C%2C%2C%2C%2C%2CVideo%3A81422314%2C,Video:81422314,NES_EA3DBF14029BDEE22FBDA856321F6C-E5FEE6D9B8A930-36E95919D3_p_1755881223675,MyListAsGallery,1,2,254761469,fa4e2013-d43f-4384-b05c-43992b796b5b-330443029,unknown,sdp|b1f72920-9579-11ed-ba23-12a40b771417|en,1,boxArt,https://occ-0-70-92.1.nflxso.net/dnm/api/v6/Qs00mKCpRvrkl3HZAN5KwEL1kpE/AAAABcoOf3FB2-Guvn8srx7kRKngRGldT6J0vMI5gySHT9Up_d3_pKbiApEfHDnf_WUtrlzqIjW6sCaXK2o0AMR5LNL9SJ-cleT0HcU.webp?r=8ab,,,title-card-2-1,2577f3bd-ead1-47c3-b9a2-7b90c24b4ffd,"2,1,,,,,,,,Video:81422314,",
